index,subsystem,toc_title,page_title,url,chars,text_file,html_file,error
11,Commercial Vehicle,4: Summary Screen,4: 4: Summary Screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Main_Summary.htm,5686,mobius_output\pages\0011_4_Summary_Screen.txt,mobius_output\html\0011_4_Summary_Screen.html,
12,Commercial Vehicle,Medical Conditions,Medical Conditions screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Medical_Conditions.htm,907,mobius_output\pages\0012_Medical_Conditions.txt,mobius_output\html\0012_Medical_Conditions.html,
13,Commercial Vehicle,Modification Details,Modification Details screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Modification_Details.htm,865,mobius_output\pages\0013_Modification_Details.txt,mobius_output\html\0013_Modification_Details.html,
14,Commercial Vehicle,Modifications,Modifications screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Modifications.htm,912,mobius_output\pages\0014_Modifications.txt,mobius_output\html\0014_Modifications.html,
15,Commercial Vehicle,Motor Claim,Motor Claim screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Motor_Claim.htm,2295,mobius_output\pages\0015_Motor_Claim.txt,mobius_output\html\0015_Motor_Claim.html,
16,Commercial Vehicle,Motoring Qualification Details,Motoring Qualification Details screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Motoring_Qualification_Details.htm,665,mobius_output\pages\0016_Motoring_Qualification_Details.txt,mobius_output\html\0016_Motoring_Qualification_Details.html,
17,Commercial Vehicle,Occupation,Occupation screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Occupation.htm,876,mobius_output\pages\0017_Occupation.txt,mobius_output\html\0017_Occupation.html,
18,Commercial Vehicle,5: Post Quote Details Screen,5: Post Quote Details Screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Post_Quote_Details.htm,1382,mobius_output\pages\0018_5_Post_Quote_Details_Screen.txt,mobius_output\html\0018_5_Post_Quote_Details_Screen.html,
19,Commercial Vehicle,Qualifications,Qualifications screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Qualifications.htm,2379,mobius_output\pages\0019_Qualifications.txt,mobius_output\html\0019_Qualifications.html,
20,Commercial Vehicle,Security Details,Security Details screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Security_Details.htm,939,mobius_output\pages\0020_Security_Details.txt,mobius_output\html\0020_Security_Details.html,
21,Commercial Vehicle,Vehicle Cover,Commercial Vehicle Cover screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Vehicle_Cover.htm,2262,mobius_output\pages\0021_Vehicle_Cover.txt,mobius_output\html\0021_Vehicle_Cover.html,
22,Commercial Vehicle,3: Vehicle Information Screen,3: Vehicle Information Screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Vehicle_Details.htm,7927,mobius_output\pages\0022_3_Vehicle_Information_Screen.txt,mobius_output\html\0022_3_Vehicle_Information_Screen.html,
23,Commercial Vehicle,Vehicle Search Results,Vehicle Search Results screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Vehicle_Search_Results.htm,1002,mobius_output\pages\0023_Vehicle_Search_Results.txt,mobius_output\html\0023_Vehicle_Search_Results.html,
24,Commercial Vehicle,Vehicles,Vehicle Summary screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Vehicle_Summary_screen.htm,848,mobius_output\pages\0024_Vehicles.txt,mobius_output\html\0024_Vehicles.html,
25,Mobius Claims,Mobius Claims,Mobius Claims Contents,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/Contents.htm,356,mobius_output\pages\0025_Mobius_Claims.txt,mobius_output\html\0025_Mobius_Claims.html,
26,Mobius Claims,1: Introduction and Getting Started,1: Introduction and Getting Started,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/Introduction.htm,1185,mobius_output\pages\0026_1_Introduction_and_Getting_Started.txt,mobius_output\html\0026_1_Introduction_and_Getting_Started.html,
27,Mobius Claims,About,About,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_About.htm,843,mobius_output\pages\0027_About.txt,mobius_output\html\0027_About.html,
